id,ecoregion_name,biome,realm,ecoregion_area,area_protected,percent_protected
40137,Northern Indochina subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,437969.973,30792.363269999998,7.0%
30903,Inner Niger Delta flooded savanna,Flooded Grasslands & Savannas,Afrotropics,46132.89348,23305.69856,50.5%
30123,Nigerian lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,67482.13749,11783.06682,17.5%
81113,Wrangel Island arctic desert,Tundra,Palearctic,7548.005770999999,7547.846262,100.0%
10410,South Island temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,11710.98134,2400.355951,20.5%
10706,Kimberly tropical savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,348611.5118,88647.80771000001,25.4%
60401,Juan Fernández Islands temperate forests,Temperate Broadleaf & Mixed Forests,Neotropics,146.2359424,44.18007006,30.2%
80609,Trans-Baikal conifer forests,Boreal Forests/Taiga,Palearctic,200904.3518,36810.66368,18.3%
80511,Honshu alpine conifer forests,Temperate Conifer Forests,Palearctic,11522.85855,5097.829446,44.2%
40109,Chin Hills-Arakan Yoma montane forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,29763.748939999998,1769.4757350000002,5.9%
40202,Central Indochina dry forests,Tropical & Subtropical Dry Broadleaf Forests,IndoMalay,320778.7887,31795.68995,9.9%
60171,Trinidad and Tobago moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,4751.7170289999995,1452.643503,30.6%
81210,Illyrian deciduous forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,40665.3926,9170.381872,22.6%
